date,actual_max_f,our_brier,kalshi_brier,winning_bin_label,our_p_winning,kalshi_p_winning,best_edge_abs,best_edge_bin_label,best_edge_our_p,best_edge_kalshi_p,best_edge_correct,ext_med,ext_spread,ext_diff_pre,clim_pct,ext_shift_f
2026-04-21,94.9,0.14660553960905612,0.1542655419222904,95°,0.28152591149212397,0.18417808219178083,0.684979919678715,95°,0.7449799196787149,0.06,1,,,,,
2026-04-22,87.3,0.13603790263283136,0.09966842391304334,87°,0.1956521739130435,0.21380434782608693,1.0,87°,1.0,0.0,1,,,,,
2026-04-23,84.6,0.19970543175275013,0.13766549003322276,85°,0.07492972486222862,0.24872093023255812,0.7359719438877754,86°,0.9859719438877755,0.25000000000000006,0,,,,,
2026-04-24,88.5,0.22075133831712387,0.22081674107142849,89°,0.0,0.0,0.74714859437751,91°,0.7871485943775101,0.04,0,,,,,
2026-04-25,84.1,0.11402918081982769,0.12524374999999993,84°,0.17849333590882752,0.19499999999999998,0.39699999999999996,85°,0.188,0.585,1,,,,,
2026-04-26,78.6,0.1993726350461981,0.1838219093406597,79°,0.0,0.029729729729729724,0.313313373253493,75° or below,0.34331337325349304,0.030000000000000027,0,,,,,
2026-04-27,80.8,0.06817698343586703,0.2117640439932324,81°,0.5621261716643228,0.06570512820512821,1.0,81°,1.0,0.0,1,,,,,
2026-04-28,85.8,0.2456026986260538,0.08612903930131001,86°,0.0,0.3267647058823529,0.87,86°,0.0,0.87,0,,,,,
2026-04-29,90.0,0.22832050238287763,0.23698895348837204,90°,0.0,0.0,0.18760479041916167,92°,0.19760479041916168,0.009999999999999995,0,,,,,
2026-05-05,78.3,0.22357651392396274,0.25538571428571427,78°,0.0,0.0,0.88,79°,0.0,0.88,1,,,,,
2026-05-06,84.3,0.21370905435268248,0.06664345454545484,84°,0.03665292894399101,0.5124778761061947,1.0,87°,1.0,0.0,0,,,,,
2026-05-07,94.7,0.14496525120860468,0.11275710674157391,95°,0.13682493657122147,0.19303370786516855,1.0,95°,1.0,0.0,1,,,,,
2026-05-08,101.0,0.13164416529708958,0.045449682203390136,101°,0.17294700231403623,0.5406018518518518,0.995,100° to 101°,0.0,0.995,0,,,,,
2026-05-09,105.0,0.21715973949493977,0.09974100274725027,105° to 106°,0.21978021978021978,0.5477747252747253,0.995,103° to 104°,1.0,0.005,0,,,,,
2026-05-10,106.0,0.19290485701269341,0.03325016571969743,105° to 106°,0.3063026427540057,0.7263920454545455,0.995,105° to 106°,0.0,0.995,0,,,,,
2026-05-11,109.0,0.15599444378540317,0.01339493055555593,108° to 109°,0.38477956210091224,0.8209722222222222,0.995,108° to 109°,0.0,0.995,0,,,,,
2026-05-12,108.0,0.2972614822306697,0.05132803030303078,107° to 108°,0.0,0.6777272727272727,0.995,107° to 108°,0.0,0.995,0,,,,,
2026-05-13,101.0,0.0856469437078079,0.06920568181818182,101° to 102°,0.38213923136270855,0.4517272727272727,0.157570281124498,101° to 102°,0.357429718875502,0.515,0,,,,,
2026-05-14,99.2,0.3541666666666667,0.3300250000000001,99° to 100°,0.0,0.005,0.995,101° to 102°,0.0,0.995,1,,,,,
2026-05-18,85.4,0.2160905470500119,0.2833409722222224,85° or below,0.112,0.005,0.995,86° to 87°,0.0,0.995,1,,,,,
2026-05-19,89.8,0.13201243170532803,0.11960416666666669,90° to 91°,0.31610337972166996,0.345,0.5396719681908548,89° or below,0.5546719681908548,0.015,0,,,,,
2026-05-20,92.8,0.17400933333333332,0.04564999999999999,93° to 94°,0.166,0.5800000000000001,0.41400000000000003,93° to 94°,0.166,0.5800000000000001,0,,,,,
2026-05-21,96.0,0.2264386728870934,0.03947916666666667,95° to 96°,0.0658682634730539,0.61,0.619750499001996,92° or below,0.624750499001996,0.005,0,,,,,
2026-05-25,98.0,0.21430569890616238,0.049145833333333326,97° to 98°,0.07414829659318638,0.54,0.46585170340681364,97° to 98°,0.07414829659318638,0.54,0,,,,,
2026-05-26,97.0,0.3120061981981982,0.009548536036035983,96° to 97°,0.02508108108108108,0.9367567567567566,0.995,96° to 97°,0.0,0.995,0,,,,,
2026-05-27,96.0,0.19698465880977575,0.031731294802867877,95° to 96°,0.2242901743102973,0.747016129032258,0.995,99° or above,1.0,0.005,0,,,,,
2026-05-28,92.0,0.19590155664227377,0.11729102798053372,91° to 92°,0.1127177297565294,0.4062043795620438,0.9469038076152304,97° to 98°,0.9519038076152304,0.005,0,,,,,
2026-05-29,86.0,0.1399583766909469,0.11953750000000003,86° to 87°,0.22580645161290322,0.355,0.12919354838709676,86° to 87°,0.22580645161290322,0.355,0,,,,,
2026-05-31,99.0,0.30745722099627487,0.008752172619047566,99° to 100°,0.005394411177644711,0.882,0.995,97° to 98°,1.0,0.005,0,,,,,
2026-06-01,103.0,0.3027572511020145,0.021380472972973467,102° to 103°,0.043243243243243246,0.777081081081081,0.995,100° to 101°,1.0,0.005,0,,,,,
2026-06-02,104.0,0.01953379740110602,0.06553745495495297,103° to 104°,0.8031924266015952,0.6332162162162162,0.7669999999999999,103° to 104°,0.972,0.20500000000000002,1,,,,,
2026-06-03,107.0,0.12560873336317688,0.04569889039855123,107° to 108°,0.4456775906668844,0.6941032608695652,0.925,107° to 108°,1.0,0.075,1,,,,,
2026-06-04,108.0,0.23058417102772027,0.021220031194296378,107° to 108°,0.15204303174032427,0.776096256684492,0.995,111° to 112°,1.0,0.005,0,,,,,
2026-06-05,108.0,0.07625082857488548,0.011678032407407805,107° to 108°,0.5622019187541448,0.833,0.630483870967742,107° to 108°,0.06451612903225806,0.6950000000000001,0,,,,,
2026-06-06,105.0,0.19997775781886992,0.07563192007796986,104° to 105°,0.20709081652849512,0.6220175438596491,0.995,104° to 105°,0.0,0.995,0,,,,,
2026-06-07,103.0,0.19463196363108992,0.08509683600712724,102° to 103°,0.21352577935654585,0.5921122994652406,0.995,102° to 103°,0.0,0.995,0,,,,,
2026-06-08,103.0,0.10536936200107971,0.06777016129032,102° to 103°,0.47496369476333405,0.6387096774193548,0.6896774193548387,101° or below,0.7096774193548387,0.02,0,,,,,
2026-06-09,104.0,0.07693915944864263,0.0362625675675681,103° to 104°,0.5270892605770766,0.7377297297297297,0.6374193548387096,102° or below,0.6774193548387096,0.04,0,,,,,
2026-06-10,107.0,0.20961525228589734,0.05174345238095241,107° to 108°,0.10209550449581387,0.6017857142857144,0.6029032258064516,104° or below,0.6129032258064516,0.01,0,,,,,
2026-06-11,108.0,0.05702872021063044,0.01379464285714286,107° to 108°,0.5217465241633772,0.7835714285714286,0.4446706586826348,107° to 108°,0.33532934131736525,0.78,0,106.5,3.5,-1.4000000000000057,59.333333333333336,0.0
2026-06-12,106.0,0.18461941002807242,0.03639183114035136,105° to 106°,0.20181337261107113,0.7350328947368421,0.995,105° to 106°,0.0,0.995,0,105.8,3.8999999999999915,1.132061068702285,74.22222222222223,0.0
2026-06-13,110.0,0.2808448648055333,0.15560677083333005,110° to 111°,0.0,0.3969836956521739,0.995,110° to 111°,0.0,0.995,0,106.4,5.299999999999997,-0.5679389312977179,64.22222222222223,0.0
2026-06-14,110.0,0.1386961180125199,0.1191687500000001,110° to 111°,0.22486207024853802,0.36766666666666664,0.585,110° to 111°,0.0,0.585,0,107.5,3.299999999999997,-0.9000000000000057,67.11111111111111,0.0
2026-06-15,108.0,0.08756937223357676,0.031933333333333334,108° to 109°,0.405189620758483,0.62,0.21481037924151697,108° to 109°,0.405189620758483,0.62,0,107.4,2.5999999999999943,-0.37175572519083744,70.66666666666667,0.0
2026-06-16,112.0,0.039613387994470145,0.04019166666666666,111° to 112°,0.6307385229540918,0.635,0.045000000000000005,113° to 114°,0.0,0.045000000000000005,1,110.1,1.5,0.5282442748091682,90.0,0.0
2026-06-17,110.0,0.10296204899920969,0.042254166666666676,109° to 110°,0.3393574297188755,0.6,0.2606425702811245,109° to 110°,0.3393574297188755,0.6,0,107.7,2.5999999999999943,0.3282442748091654,74.66666666666667,0.0
2026-06-18,108.0,0.12441537831107505,0.1923125000000001,108° to 109°,0.28246034135296605,0.1935294117647059,0.46384462151394423,106° to 107°,0.21115537848605578,0.675,1,105.4,3.200000000000003,-0.40296294345387196,48.0,0.0
2026-06-19,107.0,0.2725939959263885,0.0037752083333333305,107° to 108°,0.08855430861723447,0.958,0.995,107° to 108°,0.0,0.995,0,106.6,4.0,-2.299999999999997,38.88888888888889,0.4599999999999978
2026-06-22,109.0,0.0,0.0009270833333333312,108° to 109°,1.0,0.9746428571428571,0.195,110° to 111°,0.0,0.195,1,108.1,3.5,1.2000000000000028,76.0,0.0
2026-06-23,110.0,0.15348026948414117,0.11672378472222261,109° to 110°,0.3122854512047512,0.45427083333333335,0.9853550869053237,109° to 110°,0.009644913094676267,0.995,0,109.2,1.0999999999999943,0.0,73.77777777777777,0.0
2026-06-24,107.0,0.10329644722815082,0.1190831386292813,108° or below,0.49090189759544356,0.46845794392523366,0.7641742335391711,108° or below,0.7691742335391711,0.005,1,108.9,1.6000000000000085,-1.871266691248124,51.77777777777778,0.17368474822562893
